Random_ID,WORRIED,HEALTHY,FEWFOOD,SKIPPED,ATELESS,RUNOUT,HUNGRY,WHLDAY,wt,year,N_adults,N_child,Raw_score,Raw_score_par,Raw_score_par_error,Prob_Mod_Sev,Prob_sev,Age,Education,Area,Gender
199283678,1,1,1,1,1,1,0,0,.9717,2020,08,10+,6,1.70629385467405,1.06083907823783,.971437695827388,.436623513369523,22,Secondary,Towns/Rural,Female
117432119,1,1,1,1,1,1,1,1,.5760999999999999,2020,04,04,8,4.49978025615947,1.78440668629484,.996495952835501,.929307653358724,52,Secondary,Towns/Rural,Female
204814524,1,1,1,0,1,1,1,1,.7042,2020,06,01,7,2.8574209055801,1.34735900352858,.99066794157314,.7669221841951051,46,Secondary,Dont_know,Female
173438308,0,0,0,1,0,0,0,0,.1323,2020,02,03,1,-2.53169462982636,1.33073701427257,.047641054506747,.0004633705923494,25,College,Towns/Rural,Male
120464007,0,0,0,0,0,0,0,0,.2014,2020,03,00,0,-3.47563223924269,1.78440668629484,0,0,35,College,Towns/Rural,Male
199729310,1,1,1,1,1,1,1,1,.2575,2020,08,10+,8,4.49978025615947,1.78440668629484,.996495952835501,.929307653358724,42,College,Towns/Rural,Female
119532273,0,0,0,0,0,0,0,0,.5389,2020,03,01,0,-3.47563223924269,1.78440668629484,0,0,25,College,Urban/Suburbs,Female
114931193,1,0,0,0,1,0,0,0,.0713,2020,03,02,2,-1.40912251714157,1.03845979456933,.14532818568768,.0007807371576466,31,College,Towns/Rural,Female
175055952,1,1,1,1,1,1,1,1,.3959,2020,10+,04,8,4.49978025615947,1.78440668629484,.996495952835501,.929307653358724,55,College,Towns/Rural,Male
208697532,0,0,0,1,0,0,0,0,1.7751,2020,02,00,1,-2.53169462982636,1.33073701427257,.047641054506747,.0004633705923494,24,Elementary_or_less,Towns/Rural,Female
127180437,1,1,1,1,0,1,0,0,1.2781,2020,03,05,5,.853854679816141,.960733840625401,.887491674885726,.143791743739794,29,Secondary,Towns/Rural,Female
120458327,0,1,0,0,0,0,0,0,.5711000000000001,2020,05,04,1,-2.53169462982636,1.33073701427257,.047641054506747,.0004633705923494,53,Secondary,Towns/Rural,Female
121509230,1,0,0,0,1,1,1,1,.6348,2020,03,00,5,.853854679816141,.960733840625401,.887491674885726,.143791743739794,18,Secondary,Towns/Rural,Male
126613172,0,0,0,0,0,1,0,0,.878,2020,01,00,1,-2.53169462982636,1.33073701427257,.047641054506747,.0004633705923494,28,Secondary,Urban/Suburbs,Male
182132732,1,0,1,1,1,1,0,0,.7042,2020,06,01,5,.853854679816141,.960733840625401,.887491674885726,.143791743739794,27,Secondary,Towns/Rural,Female
160062029,0,1,1,1,1,0,0,1,.4493,2020,03,01,5,.853854679816141,.960733840625401,.887491674885726,.143791743739794,25,Secondary,Towns/Rural,Male
208118599,0,0,0,0,0,0,0,0,.5760999999999999,2020,03,00,0,-3.47563223924269,1.78440668629484,0,0,27,Secondary,Urban/Suburbs,Female
179878710,1,0,0,0,1,1,1,0,.2297,2020,05,02,4,.126058164938327,.929306211903251,.681239122381297,.0298798332078331,20,Secondary,Towns/Rural,Male
121615859,1,0,1,1,0,0,0,0,.2102,2020,08,00,3,-.6046624297919,.9476819923115239,.378649207172142,.0044337548457961,35,College,Towns/Rural,Male
209041274,1,1,0,1,1,0,0,0,.0904,2020,04,01,4,.126058164938327,.929306211903251,.681239122381297,.0298798332078331,35,College,Towns/Rural,Male
148040619,1,1,1,1,1,1,0,0,1.7573,2020,02,05,6,1.70629385467405,1.06083907823783,.971437695827388,.436623513369523,65,Elementary_or_less,Towns/Rural,Female
144342655,0,1,0,0,0,0,0,0,.0443,2020,02,00,1,-2.53169462982636,1.33073701427257,.047641054506747,.0004633705923494,24,College,Urban/Suburbs,Male
136337619,1,1,1,1,1,0,0,0,1.8098,2020,02,03,5,.853854679816141,.960733840625401,.887491674885726,.143791743739794,33,Elementary_or_less,Urban/Suburbs,Male
185982400,1,1,1,0,1,1,0,1,.7673,2020,02,02,6,1.70629385467405,1.06083907823783,.971437695827388,.436623513369523,28,Secondary,Towns/Rural,Male
170577055,1,0,1,1,1,0,0,0,.2839,2020,08,04,4,.126058164938327,.929306211903251,.681239122381297,.0298798332078331,56,Secondary,Towns/Rural,Male
207464392,0,0,1,0,1,0,0,0,.1323,2020,05,00,2,-1.40912251714157,1.03845979456933,.14532818568768,.0007807371576466,37,College,Towns/Rural,Male
204951583,1,1,0,0,0,0,0,0,1.5364,2020,02,02,2,-1.40912251714157,1.03845979456933,.14532818568768,.0007807371576466,35,Secondary,Towns/Rural,Female
142300035,1,0,1,1,1,1,1,1,5.5459,2020,02,06,7,2.8574209055801,1.34735900352858,.99066794157314,.7669221841951051,50,Elementary_or_less,Urban/Suburbs,Male
170274063,1,1,1,1,1,1,0,0,.7042,2020,04,03,6,1.70629385467405,1.06083907823783,.971437695827388,.436623513369523,29,Secondary,Urban/Suburbs,Female
190822466,1,1,1,1,1,1,1,1,.6705,2020,02,02,8,4.49978025615947,1.78440668629484,.996495952835501,.929307653358724,33,Secondary,Urban/Suburbs,Male
175481821,1,1,1,1,1,0,0,0,.6047,2020,06,04,5,.853854679816141,.960733840625401,.887491674885726,.143791743739794,45,Secondary,Urban/Suburbs,Male
194528437,1,0,0,0,1,1,1,1,.2014,2020,03,00,5,.853854679816141,.960733840625401,.887491674885726,.143791743739794,28,College,Urban/Suburbs,Male
163705265,1,1,0,1,1,1,1,1,.4493,2020,04,08,7,2.8574209055801,1.34735900352858,.99066794157314,.7669221841951051,40,Secondary,Towns/Rural,Male
146731239,1,1,1,0,1,0,0,1,.0413,2020,04,02,5,.853854679816141,.960733840625401,.887491674885726,.143791743739794,29,College,Towns/Rural,Male
164892721,1,1,1,1,1,1,1,1,5.5459,2020,05,05,8,4.49978025615947,1.78440668629484,.996495952835501,.929307653358724,45,Elementary_or_less,Urban/Suburbs,Male
156112825,1,1,1,1,1,1,1,1,.5063,2020,04,04,8,4.49978025615947,1.78440668629484,.996495952835501,.929307653358724,35,Secondary,Towns/Rural,Male
175757629,1,1,1,1,1,1,1,1,1.0579,2020,02,03,8,4.49978025615947,1.78440668629484,.996495952835501,.929307653358724,20,Secondary,Towns/Rural,Female
146275746,0,1,0,1,1,0,0,0,.4627,2020,05,00,3,-.6046624297919,.9476819923115239,.378649207172142,.0044337548457961,20,Secondary,Towns/Rural,Male
181786629,1,1,1,0,1,1,0,1,.6924,2020,03,08,6,1.70629385467405,1.06083907823783,.971437695827388,.436623513369523,42,Secondary,Towns/Rural,Male
169741057,1,1,1,0,1,0,0,0,.0904,2020,07,02,4,.126058164938327,.929306211903251,.681239122381297,.0298798332078331,42,College,Towns/Rural,Male
162953966,1,1,1,1,1,0,0,0,.6592,2020,05,00,5,.853854679816141,.960733840625401,.887491674885726,.143791743739794,22,Secondary,Towns/Rural,Female
126584571,1,1,1,1,1,0,0,0,.1647,2020,06,01,5,.853854679816141,.960733840625401,.887491674885726,.143791743739794,62,College,Towns/Rural,Male
161070257,1,1,0,1,1,1,0,1,.0684,2020,07,03,6,1.70629385467405,1.06083907823783,.971437695827388,.436623513369523,38,College,Urban/Suburbs,Female
